id;customer_name;address;telephone;status;accumulated_points;created_date;updated_date;updated_by
1;wireless Soft JSON;Buckinghamshire lavender Sports;0240 2324 7728;COPPER;31213;2022-03-26T20:56:17;2022-03-27T07:50:52;59075
2;IB Principal;Shoes;028 1688 5526;GOLD;63002;2022-03-27T09:03:56;2022-03-27T00:24:26;43848
3;Directives Shoes Chair;programming;0247 0131 3053;NOMAL;1052;2022-03-26T19:10:00;2022-03-27T01:33:05;79863
4;Frozen Lan;invoice Avon;0247 9149 1802;GOLD;81227;2022-03-26T17:43:21;2022-03-27T11:27:10;9645
5;back-end Orchestrator;Ergonomic Dollar;025 0739 1055;NOMAL;29219;2022-03-27T04:32:42;2022-03-27T00:28:49;88205
6;generating Incredible payment;Planner deposit User-friendly;0255 6237 1313;SLIVER;95473;2022-03-27T08:33:16;2022-03-27T05:22:58;29974
7;collaboration coherent;green;0257 4936 2060;SLIVER;51791;2022-03-26T21:33:48;2022-03-26T16:52:21;32262
8;online;holistic Configuration;029 6572 6171;SLIVER;99253;2022-03-26T13:53:24;2022-03-27T03:06:28;62866
9;Cambridgeshire Baby Accountability;Toys e-markets Technician;0242 5914 3014;DIAMOND;62462;2022-03-26T22:12:56;2022-03-26T13:07:49;59255
10;web-enabled;Square;0252 6867 1402;SLIVER;56614;2022-03-27T11:36:30;2022-03-27T05:48:02;74729
